자전거번호,대여일시,대여소번호,대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-20076,2019-11-28 8:37,646,장한평역 1번출구 (국민은행앞),6,2019-11-28 8:44,3,중랑센터,2,5,1070
SPB-19643,2019-11-06 8:43,419,홈플러스 앞,,2019-11-06 9:26,5,상암센터 정비실,5,42,450
SPB-15211,2019-11-15 8:42,419,홈플러스 앞,18,2019-11-15 9:16,5,상암센터 정비실,5,33,550
SPB-24468,2019-11-22 8:36,911,은평평화공원(역촌역4번출구),10,2019-11-22 8:58,5,상암센터 정비실,6,20,5170
SPB-09287,2019-11-26 8:36,911,은평평화공원(역촌역4번출구),4,2019-11-26 9:21,5,상암센터 정비실,6,42,5800
SPB-21611,2019-11-27 8:34,911,은평평화공원(역촌역4번출구),,2019-11-27 8:55,5,상암센터 정비실,6,,5350
SPB-20840,2019-11-28 8:32,419,홈플러스 앞,1,2019-11-28 8:35,5,상암센터 정비실,5,3,280
SPB-05354,2019-11-28 8:31,911,은평평화공원(역촌역4번출구),10,2019-11-28 8:54,5,상암센터 정비실,6,22,5410
SPB-21142,2019-11-29 8:28,911,은평평화공원(역촌역4번출구),3,2019-11-29 8:51,5,상암센터 정비실,6,21,5260
SPB-18368,2019-11-01 0:28,108,서교동 사거리,10,2019-11-01 0:41,101,(구)합정동 주민센터,5,11,1520
SPB-07827,2019-11-01 1:21,199,서울 월드컵 경기장,11,2019-11-01 1:36,101,(구)합정동 주민센터,1,13,2840
SPB-13046,2019-11-01 2:13,102,망원역 1번출구 앞,11,2019-11-01 2:20,101,(구)합정동 주민센터,1,7,1170
SPB-13046,2019-11-01 2:21,101,(구)합정동 주민센터,1,2019-11-01 2:30,101,(구)합정동 주민센터,1,9,950
SPB-14246,2019-11-01 2:21,120,신수동 사거리,5,2019-11-01 2:45,101,(구)합정동 주민센터,2,23,
SPB-11282,2019-11-01 3:30,106,합정역 7번출구 앞,5,2019-11-01 3:39,101,(구)합정동 주민센터,1,8,590
SPB-07875,2019-11-01 6:43,421,마포구청 앞,5,2019-11-01 6:55,101,(구)합정동 주민센터,3,11,1920
SPB-25272,2019-11-01 8:13,956,응암시장교차로,5,2019-11-01 8:42,101,(구)합정동 주민센터,,27,6670
SPB-19505,2019-11-01 9:50,104,합정역 1번출구 앞,1,2019-11-01 10:03,101,(구)합정동 주민센터,3,12,1220
SPB-13046,2019-11-01 10:35,101,(구)합정동 주민센터,2,2019-11-01 10:37,101,(구)합정동 주민센터,3,2,20
SPB-11488,2019-11-01 12:02,103,망원역 2번출구 앞,12,2019-11-01 12:09,101,(구)합정동 주민센터,1,6,1010
SPB-14142,2019-11-01 13:06,152,마포구민체육센터 앞,27,2019-11-01 13:12,101,(구)합정동 주민센터,5,,1190
SPB-11221,2019-11-01 13:59,125,서강대 남문 옆,10,2019-11-01 14:24,101,(구)합정동 주민센터,5,24,4940
SPB-01182,2019-11-01 15:08,113,홍대입구역 2번출구 앞,24,2019-11-01 15:22,101,(구)합정동 주민센터,4,13,2300
SPB-11637,2019-11-01 15:35,103,망원역 2번출구 앞,4,2019-11-01 15:41,101,(구)합정동 주민센터,2,5,1110
SPB-17056,2019-11-01 16:54,106,합정역 7번출구 앞,7,2019-11-01 17:01,101,(구)합정동 주민센터,5,6,830
SPB-17169,2019-11-01 18:32,148,용강동 주민센터 앞,,2019-11-01 19:05,101,(구)합정동 주민센터,2,32,5440
SPB-03131,2019-11-01 18:34,226,샛강역 1번출구 앞,14,2019-11-01 19:10,101,(구)합정동 주민센터,1,35,6890
SPB-00122,2019-11-01 18:55,113,홍대입구역 2번출구 앞,25,2019-11-01 19:14,101,(구)합정동 주민센터,,19,2790
SPB-15851,2019-11-01 19:15,128,신촌역(2호선) 1번출구 옆,18,2019-11-01 19:34,101,(구)합정동 주민센터,1,18,3750
SPB-05526,2019-11-01 19:39,106,합정역 7번출구 앞,4,2019-11-01 19:46,101,(구)합정동 주민센터,2,6,920
SPB-03131,2019-11-01 19:44,106,합정역 7번출구 앞,4,2019-11-01 19:48,101,(구)합정동 주민센터,1,3,890
SPB-05526,2019-11-01 19:50,101,(구)합정동 주민센터,2,2019-11-01 20:03,101,(구)합정동 주민센터,4,12,1570
SPB-06179,2019-11-01 20:13,267,삼성화재 사옥 옆,1,2019-11-01 20:26,101,(구)합정동 주민센터,2,12,2380
SPB-07887,2019-11-01 20:22,104,합정역 1번출구 앞,6,2019-11-01 20:30,101,(구)합정동 주민센터,3,,770
SPB-08747,2019-11-01 20:37,115,사루비아 빌딩 앞,15,2019-11-01 20:53,101,(구)합정동 주민센터,5,16,2670
SPB-21427,2019-11-01 20:50,826,서울역 서부교차로2,20,2019-11-01 21:19,101,(구)합정동 주민센터,5,27,6100
SPB-12849,2019-11-01 22:32,102,망원역 1번출구 앞,7,2019-11-01 22:40,101,(구)합정동 주민센터,1,7,1120
SPB-12120,2019-11-01 22:23,391,정동길입구,4,2019-11-01 23:02,101,(구)합정동 주민센터,3,38,6330
SPB-12825,2019-11-01 23:45,103,망원역 2번출구 앞,7,2019-11-01 23:51,101,(구)합정동 주민센터,1,5,790
SPB-06785,2019-11-02 0:32,105,합정역 5번출구 앞,1,2019-11-02 0:47,101,(구)합정동 주민센터,5,14,1360
SPB-15349,2019-11-02 1:14,104,합정역 1번출구 앞,,2019-11-02 1:20,101,(구)합정동 주민센터,1,5,1040
SPB-24484,2019-11-02 1:19,137,NH농협 신촌지점 앞,4,2019-11-02 1:35,101,(구)합정동 주민센터,3,16,3840
SPB-11364,2019-11-02 2:17,154,마포구청역,2,2019-11-02 2:26,101,(구)합정동 주민센터,5,9,1630
SPB-07767,2019-11-02 2:52,115,사루비아 빌딩 앞,4,2019-11-02 3:08,101,(구)합정동 주민센터,5,14,1710
SPB-16514,2019-11-02 5:11,106,합정역 7번출구 앞,2,2019-11-02 5:18,101,(구)합정동 주민센터,1,6,820
SPB-25390,2019-11-02 10:49,409,누리꿈스퀘어 옆,14,2019-11-02 11:36,101,(구)합정동 주민센터,1,46,6980
SPB-08265,2019-11-02 14:24,104,합정역 1번출구 앞,2,2019-11-02 14:53,101,(구)합정동 주민센터,1,28,
SPB-24767,2019-11-02 14:54,106,합정역 7번출구 앞,6,2019-11-02 15:21,101,(구)합정동 주민센터,4,27,810
SPB-01372,2019-11-02 15:34,104,합정역 1번출구 앞,,2019-11-02 15:43,101,(구)합정동 주민센터,2,8,1230
SPB-04854,2019-11-02 14:07,104,합정역 1번출구 앞,5,2019-11-02 15:54,101,(구)합정동 주민센터,5,106,3110
SPB-21518,2019-11-02 16:00,116,일진아이윌아파트 옆,3,2019-11-02 16:49,101,(구)합정동 주민센터,,46,3980
SPB-22668,2019-11-02 16:02,116,일진아이윌아파트 옆,3,2019-11-02 16:50,101,(구)합정동 주민센터,4,46,42070
SPB-07402,2019-11-02 16:45,151,망원1동주민센터,1,2019-11-02 16:59,101,(구)합정동 주민센터,3,,1250
SPB-10270,2019-11-02 16:41,151,망원1동주민센터,2,2019-11-02 16:59,101,(구)합정동 주민센터,4,16,1080
SPB-18146,2019-11-02 17:20,826,서울역 서부교차로2,14,2019-11-02 17:51,101,(구)합정동 주민센터,5,30,6930
SPB-24483,2019-11-02 17:29,272,당산육갑문,3,2019-11-02 17:58,101,(구)합정동 주민센터,2,28,4680
SPB-22746,2019-11-02 18:03,115,사루비아 빌딩 앞,9,2019-11-02 18:17,101,(구)합정동 주민센터,2,13,2210
SPB-08676,2019-11-02 18:25,108,서교동 사거리,4,2019-11-02 18:48,101,(구)합정동 주민센터,1,20,2570
SPB-07205,2019-11-02 18:30,175,홍연2교옆,18,2019-11-02 18:52,101,(구)합정동 주민센터,1,21,6750
SPB-08676,2019-11-02 18:51,101,(구)합정동 주민센터,1,2019-11-02 19:11,101,(구)합정동 주민센터,1,17,1320
SPB-07205,2019-11-02 20:24,101,(구)합정동 주민센터,1,2019-11-02 20:41,101,(구)합정동 주민센터,1,16,1470
SPB-07402,2019-11-02 19:54,101,(구)합정동 주민센터,3,2019-11-02 21:01,101,(구)합정동 주민센터,4,65,2280
SPB-04854,2019-11-02 19:52,101,(구)합정동 주민센터,5,2019-11-02 21:01,101,(구)합정동 주민센터,2,,2300
SPB-08676,2019-11-02 19:53,101,(구)합정동 주민센터,,2019-11-02 21:13,101,(구)합정동 주민센터,1,69,2230
SPB-12120,2019-11-02 20:30,419,홈플러스 앞,15,2019-11-02 21:14,101,(구)합정동 주민센터,5,44,4200
SPB-03614,2019-11-02 20:28,419,홈플러스 앞,,2019-11-02 21:15,101,(구)합정동 주민센터,,46,5720
SPB-06590,2019-11-02 21:00,182,망원2빗물펌프장 앞,2,2019-11-02 21:23,101,(구)합정동 주민센터,1,22,2580
SPB-07497,2019-11-02 21:22,3102,연희삼거리,9,2019-11-02 21:41,101,(구)합정동 주민센터,5,17,3410
SPB-22287,2019-11-02 22:56,112,극동방송국 앞,2,2019-11-02 23:09,101,(구)합정동 주민센터,2,12,1610
SPB-23827,2019-11-02 23:14,113,홍대입구역 2번출구 앞,11,2019-11-02 23:26,101,(구)합정동 주민센터,3,11,1850
SPB-11003,2019-11-02 23:45,102,망원역 1번출구 앞,9,2019-11-02 23:52,101,(구)합정동 주민센터,2,6,
SPB-09782,2019-11-02 23:35,129,신촌역(2호선) 6번출구 옆,2,2019-11-02 23:55,101,(구)합정동 주민센터,5,18,3080
SPB-17282,2019-11-02 23:56,113,홍대입구역 2번출구 앞,11,2019-11-03 0:07,101,(구)합정동 주민센터,3,11,2270
SPB-22781,2019-11-02 23:26,113,홍대입구역 2번출구 앞,10,2019-11-03 0:09,101,(구)합정동 주민센터,5,42,4630
SPB-11651,2019-11-02 23:54,228,선유도역 3번출구 앞,8,2019-11-03 0:09,101,(구)합정동 주민센터,3,15,2290
SPB-17117,2019-11-03 0:08,102,망원역 1번출구 앞,10,2019-11-03 0:17,101,(구)합정동 주민센터,2,9,1110
SPB-22287,2019-11-03 8:56,101,(구)합정동 주민센터,2,2019-11-03 9:28,101,(구)합정동 주민센터,1,30,1410
SPB-01372,2019-11-03 9:48,182,망원2빗물펌프장 앞,7,2019-11-03 10:48,101,(구)합정동 주민센터,4,59,4370
SPB-15238,2019-11-03 10:29,139,연세대 정문 건너편,12,2019-11-03 10:53,101,(구)합정동 주민센터,2,24,3820
SPB-10191,2019-11-03 11:56,105,합정역 5번출구 앞,,2019-11-03 12:35,101,(구)합정동 주민센터,4,38,1610
SPB-10735,2019-11-03 12:15,106,합정역 7번출구 앞,10,2019-11-03 12:41,101,(구)합정동 주민센터,1,25,2180
SPB-07497,2019-11-03 12:46,151,망원1동주민센터,4,2019-11-03 12:54,101,(구)합정동 주민센터,5,7,1080
SPB-05156,2019-11-03 14:04,103,망원역 2번출구 앞,8,2019-11-03 14:40,101,(구)합정동 주민센터,5,35,1140
SPB-23965,2019-11-03 14:39,152,마포구민체육센터 앞,28,2019-11-03 14:46,101,(구)합정동 주민센터,1,6,1100
SPB-21140,2019-11-03 15:38,104,합정역 1번출구 앞,10,2019-11-03 15:46,101,(구)합정동 주민센터,1,7,0
SPB-21140,2019-11-03 16:09,106,합정역 7번출구 앞,9,2019-11-03 16:14,101,(구)합정동 주민센터,2,4,0
SPB-18241,2019-11-03 14:26,2103,신림동 우방아파트,3,2019-11-03 16:27,101,(구)합정동 주민센터,4,121,17060
SPB-14209,2019-11-03 14:26,2103,신림동 우방아파트,1,2019-11-03 16:28,101,(구)합정동 주민센터,1,121,16910
SPB-06227,2019-11-03 16:27,151,망원1동주민센터,8,2019-11-03 16:34,101,(구)합정동 주민센터,3,6,1170
SPB-16593,2019-11-03 17:16,106,합정역 7번출구 앞,1,2019-11-03 18:11,101,(구)합정동 주민센터,5,54,860
SPB-18241,2019-11-03 17:45,101,(구)합정동 주민센터,4,2019-11-03 18:12,101,(구)합정동 주민센터,4,26,2560
SPB-20935,2019-11-03 18:09,183,하늘채코오롱아파트 건너편,13,2019-11-03 18:29,101,(구)합정동 주민센터,1,18,2700
SPB-17422,2019-11-03 19:34,151,망원1동주민센터,9,2019-11-03 19:48,101,(구)합정동 주민센터,1,13,1050
SPB-06227,2019-11-03 19:35,151,망원1동주민센터,8,2019-11-03 19:48,101,(구)합정동 주민센터,3,12,1060
SPB-14926,2019-11-03 19:46,106,합정역 7번출구 앞,6,2019-11-03 19:53,101,(구)합정동 주민센터,5,6,910
SPB-15011,2019-11-03 19:53,182,망원2빗물펌프장 앞,4,2019-11-03 20:31,101,(구)합정동 주민센터,4,37,4240
SPB-24564,2019-11-03 19:24,182,망원2빗물펌프장 앞,3,2019-11-03 20:38,101,(구)합정동 주민센터,1,72,8530
SPB-21795,2019-11-03 20:59,106,합정역 7번출구 앞,8,2019-11-03 21:04,101,(구)합정동 주민센터,3,5,450
SPB-12801,2019-11-03 21:15,114,홍대입구역 8번출구 앞,3,2019-11-03 21:33,101,(구)합정동 주민센터,1,16,1940
SPB-22075,2019-11-03 21:50,152,마포구민체육센터 앞,,2019-11-03 21:57,101,(구)합정동 주민센터,1,6,970
SPB-07429,2019-11-03 21:39,440,하늘공원 입구,5,2019-11-03 22:06,101,(구)합정동 주민센터,2,25,4030
SPB-14782,2019-11-03 22:17,184,SK망원동주유소 건너편,1,2019-11-03 22:26,101,(구)합정동 주민센터,1,8,1490
SPB-18241,2019-11-03 22:31,196,연희교차로 인근,1,2019-11-03 22:58,101,(구)합정동 주민센터,5,26,4430
SPB-21795,2019-11-03 22:56,101,(구)합정동 주민센터,3,2019-11-03 23:02,101,(구)합정동 주민센터,2,5,280
SPB-03349,2019-11-03 23:03,124,서강대 정문 건너편,5,2019-11-03 23:23,101,(구)합정동 주민센터,3,19,
SPB-22403,2019-11-03 23:45,119,서강나루 공원,10,2019-11-03 23:59,101,(구)합정동 주민센터,5,,1530
SPB-18241,2019-11-03 23:45,101,(구)합정동 주민센터,5,2019-11-04 0:16,101,(구)합정동 주민센터,5,30,3810
SPB-24421,2019-11-04 0:01,419,홈플러스 앞,11,2019-11-04 0:29,101,(구)합정동 주민센터,5,27,3540
SPB-24856,2019-11-04 0:05,419,홈플러스 앞,14,2019-11-04 0:29,101,(구)합정동 주민센터,1,22,4250
SPB-01878,2019-11-04 0:03,419,홈플러스 앞,15,2019-11-04 0:29,101,(구)합정동 주민센터,1,25,4450
SPB-07435,2019-11-04 2:08,151,망원1동주민센터,7,2019-11-04 2:14,101,(구)합정동 주민센터,3,5,700
SPB-24875,2019-11-04 3:56,264,교보생명보험 앞,3,2019-11-04 4:12,101,(구)합정동 주민센터,1,15,3320
SPB-01717,2019-11-04 9:09,438,성산2-1 공영주차장,1,2019-11-04 9:26,101,(구)합정동 주민센터,4,15,3900
SPB-06287,2019-11-04 9:05,203,국회의사당역 3번출구 옆,1,2019-11-04 9:28,101,(구)합정동 주민센터,3,22,5020
SPB-15658,2019-11-04 10:08,228,선유도역 3번출구 앞,6,2019-11-04 10:28,101,(구)합정동 주민센터,5,20,2860
SPB-15658,2019-11-04 11:03,101,(구)합정동 주민센터,5,2019-11-04 12:27,101,(구)합정동 주민센터,4,83,3850
SPB-15658,2019-11-04 12:38,101,(구)합정동 주민센터,4,2019-11-04 12:53,101,(구)합정동 주민센터,2,14,2590
SPB-22075,2019-11-04 12:25,101,(구)합정동 주민센터,1,2019-11-04 12:54,101,(구)합정동 주민센터,5,27,490
SPB-15142,2019-11-04 12:33,152,마포구민체육센터 앞,23,2019-11-04 13:17,101,(구)합정동 주민센터,4,44,0
SPB-24564,2019-11-04 14:47,101,(구)합정동 주민센터,1,2019-11-04 15:27,101,(구)합정동 주민센터,1,39,3300
SPB-19967,2019-11-04 15:01,102,망원역 1번출구 앞,11,2019-11-04 15:30,101,(구)합정동 주민센터,3,27,2010
SPB-00069,2019-11-04 15:01,102,망원역 1번출구 앞,12,2019-11-04 15:30,101,(구)합정동 주민센터,4,28,1940
SPB-17778,2019-11-04 15:23,184,SK망원동주유소 건너편,9,2019-11-04 15:34,101,(구)합정동 주민센터,5,11,1700
SPB-17778,2019-11-04 17:16,101,(구)합정동 주민센터,,2019-11-04 17:41,101,(구)합정동 주민센터,1,24,1750
SPB-24758,2019-11-04 17:59,106,합정역 7번출구 앞,7,2019-11-04 18:20,101,(구)합정동 주민센터,5,20,1130
SPB-20844,2019-11-04 17:55,115,사루비아 빌딩 앞,3,2019-11-04 18:21,101,(구)합정동 주민센터,1,24,3110
SPB-23976,2019-11-04 18:00,129,신촌역(2호선) 6번출구 옆,9,2019-11-04 18:27,101,(구)합정동 주민센터,3,25,3350
SPB-05001,2019-11-04 18:23,102,망원역 1번출구 앞,19,2019-11-04 18:30,101,(구)합정동 주민센터,2,6,1180
SPB-12291,2019-11-04 18:10,409,누리꿈스퀘어 옆,1,2019-11-04 18:34,101,(구)합정동 주민센터,4,23,4660
SPB-02431,2019-11-04 18:18,148,용강동 주민센터 앞,1,2019-11-04 18:45,101,(구)합정동 주민센터,1,27,5510
SPB-08458,2019-11-04 18:44,108,서교동 사거리,5,2019-11-04 19:03,101,(구)합정동 주민센터,2,18,2100
SPB-13180,2019-11-04 18:45,108,서교동 사거리,4,2019-11-04 19:03,101,(구)합정동 주민센터,1,17,1590
SPB-22308,2019-11-04 19:39,106,합정역 7번출구 앞,8,2019-11-04 19:46,101,(구)합정동 주민센터,4,6,910
SPB-23976,2019-11-04 19:15,101,(구)합정동 주민센터,3,2019-11-04 19:46,101,(구)합정동 주민센터,3,30,2120
SPB-04641,2019-11-04 19:52,105,합정역 5번출구 앞,2,2019-11-04 19:59,101,(구)합정동 주민센터,3,6,1020
SPB-14959,2019-11-04 19:55,151,망원1동주민센터,4,2019-11-04 20:54,101,(구)합정동 주민센터,2,57,5200
SPB-16645,2019-11-04 21:07,826,서울역 서부교차로2,18,2019-11-04 21:33,101,(구)합정동 주민센터,2,26,6850
SPB-04641,2019-11-04 21:33,101,(구)합정동 주민센터,3,2019-11-04 21:42,101,(구)합정동 주민센터,1,,0
SPB-12220,2019-11-04 21:41,432,마포중앙도서관,1,2019-11-04 21:52,101,(구)합정동 주민센터,3,9,1840
SPB-13543,2019-11-04 21:19,121,마포소방서 앞,,2019-11-04 22:06,101,(구)합정동 주민센터,1,47,3430
SPB-06676,2019-11-04 22:04,151,망원1동주민센터,5,2019-11-04 22:12,101,(구)합정동 주민센터,1,6,1040
SPB-23824,2019-11-04 22:18,104,합정역 1번출구 앞,2,2019-11-04 22:23,101,(구)합정동 주민센터,5,5,780
SPB-24084,2019-11-04 22:23,103,망원역 2번출구 앞,4,2019-11-04 22:40,101,(구)합정동 주민센터,1,15,750
SPB-11840,2019-11-04 22:40,104,합정역 1번출구 앞,7,2019-11-04 22:47,101,(구)합정동 주민센터,5,7,870
SPB-08884,2019-11-04 22:40,104,합정역 1번출구 앞,1,2019-11-04 22:47,101,(구)합정동 주민센터,1,7,1120
SPB-22099,2019-11-04 22:33,128,신촌역(2호선) 1번출구 옆,6,2019-11-04 22:52,101,(구)합정동 주민센터,3,18,3010
SPB-22641,2019-11-04 22:26,391,정동길입구,5,2019-11-04 23:10,101,(구)합정동 주민센터,2,43,6340
SPB-09543,2019-11-04 23:32,102,망원역 1번출구 앞,8,2019-11-04 23:42,101,(구)합정동 주민센터,1,9,1140
SPB-14426,2019-11-05 0:08,109,제일빌딩 앞,10,2019-11-05 0:16,101,(구)합정동 주민센터,1,7,1410
SPB-06938,2019-11-05 0:37,306,광화문역 7번출구 앞,4,2019-11-05 1:11,101,(구)합정동 주민센터,4,34,8160
SPB-07062,2019-11-05 1:21,151,망원1동주민센터,,2019-11-05 1:27,101,(구)합정동 주민센터,3,5,1050
SPB-12641,2019-11-05 1:34,102,망원역 1번출구 앞,12,2019-11-05 1:41,101,(구)합정동 주민센터,3,6,1110
SPB-23475,2019-11-05 1:49,103,망원역 2번출구 앞,13,2019-11-05 1:55,101,(구)합정동 주민센터,1,5,740
SPB-22450,2019-11-05 2:06,106,합정역 7번출구 앞,4,2019-11-05 2:11,101,(구)합정동 주민센터,3,5,480
SPB-13900,2019-11-05 9:16,103,망원역 2번출구 앞,6,2019-11-05 9:23,101,(구)합정동 주민센터,2,6,1060
SPB-14571,2019-11-05 9:09,438,성산2-1 공영주차장,2,2019-11-05 9:27,101,(구)합정동 주민센터,5,17,
SPB-14571,2019-11-05 9:52,104,합정역 1번출구 앞,2,2019-11-05 9:57,101,(구)합정동 주민센터,1,5,1130
SPB-13900,2019-11-05 9:43,101,(구)합정동 주민센터,2,2019-11-05 10:27,101,(구)합정동 주민센터,1,43,4810
SPB-02659,2019-11-05 11:44,113,홍대입구역 2번출구 앞,25,2019-11-05 11:57,101,(구)합정동 주민센터,1,12,1770
SPB-14784,2019-11-05 13:02,152,마포구민체육센터 앞,21,2019-11-05 13:19,101,(구)합정동 주민센터,5,17,1790
SPB-06274,2019-11-05 12:54,102,망원역 1번출구 앞,15,2019-11-05 13:26,101,(구)합정동 주민센터,4,32,2440
SPB-20864,2019-11-05 13:18,111,상수역 2번출구 앞,10,2019-11-05 13:36,101,(구)합정동 주민센터,1,,3680
SPB-14919,2019-11-05 12:53,181,망원초록길 입구,6,2019-11-05 13:46,101,(구)합정동 주민센터,1,52,3780
SPB-05318,2019-11-05 13:35,427,성산시영아파트,,2019-11-05 13:51,101,(구)합정동 주민센터,3,15,3210
SPB-06770,2019-11-05 13:32,125,서강대 남문 옆,6,2019-11-05 13:53,101,(구)합정동 주민센터,1,21,3570
SPB-12842,2019-11-05 15:30,113,홍대입구역 2번출구 앞,22,2019-11-05 15:50,101,(구)합정동 주민센터,4,18,1860
SPB-12842,2019-11-05 15:56,101,(구)합정동 주민센터,4,2019-11-05 16:03,101,(구)합정동 주민센터,2,6,700
SPB-03622,2019-11-05 16:35,152,마포구민체육센터 앞,6,2019-11-05 16:43,101,(구)합정동 주민센터,4,7,1160
SPB-18327,2019-11-05 16:49,196,연희교차로 인근,8,2019-11-05 17:13,101,(구)합정동 주민센터,5,22,4140
SPB-14886,2019-11-05 18:07,104,합정역 1번출구 앞,2,2019-11-05 18:16,101,(구)합정동 주민센터,3,8,1080
SPB-21192,2019-11-05 17:54,203,국회의사당역 3번출구 옆,2,2019-11-05 18:18,101,(구)합정동 주민센터,2,22,3940
SPB-20543,2019-11-05 18:07,409,누리꿈스퀘어 옆,4,2019-11-05 18:32,101,(구)합정동 주민센터,2,24,4220
SPB-20995,2019-11-05 18:13,148,용강동 주민센터 앞,,2019-11-05 18:41,101,(구)합정동 주민센터,1,27,4560
SPB-23690,2019-11-05 18:41,247,당산역 10번출구 앞,9,2019-11-05 18:59,101,(구)합정동 주민센터,5,17,2930
SPB-25430,2019-11-05 18:14,224,롯데캐슬 앞,17,2019-11-05 19:06,101,(구)합정동 주민센터,4,49,7260
SPB-05808,2019-11-05 19:11,410,상암중학교 옆,3,2019-11-05 19:32,101,(구)합정동 주민센터,2,20,5500
SPB-11531,2019-11-05 19:41,104,합정역 1번출구 앞,8,2019-11-05 19:50,101,(구)합정동 주민센터,1,9,1090
SPB-11062,2019-11-05 20:20,129,신촌역(2호선) 6번출구 옆,9,2019-11-05 20:51,101,(구)합정동 주민센터,1,30,3170
SPB-03991,2019-11-05 20:34,111,상수역 2번출구 앞,9,2019-11-05 21:03,101,(구)합정동 주민센터,2,28,3980
SPB-05365,2019-11-05 21:06,106,합정역 7번출구 앞,5,2019-11-05 21:13,101,(구)합정동 주민센터,5,6,970
SPB-23327,2019-11-05 22:14,391,정동길입구,2,2019-11-05 22:54,101,(구)합정동 주민센터,,37,7210
SPB-18099,2019-11-05 23:30,102,망원역 1번출구 앞,20,2019-11-05 23:48,101,(구)합정동 주민센터,1,17,1780
SPB-06638,2019-11-05 22:52,413,상암월드컵파크 3단지 후문,8,2019-11-06 0:05,101,(구)합정동 주민센터,1,73,6900
SPB-08746,2019-11-05 22:51,413,상암월드컵파크 3단지 후문,2,2019-11-06 0:06,101,(구)합정동 주민센터,4,74,6520
SPB-18099,2019-11-06 0:00,101,(구)합정동 주민센터,1,2019-11-06 0:16,101,(구)합정동 주민센터,4,15,1610
SPB-23690,2019-11-06 0:27,106,합정역 7번출구 앞,4,2019-11-06 0:32,101,(구)합정동 주민센터,1,5,710
SPB-19171,2019-11-06 1:42,151,망원1동주민센터,,2019-11-06 1:48,101,(구)합정동 주민센터,5,5,1060
SPB-11997,2019-11-06 7:50,956,응암시장교차로,9,2019-11-06 8:18,101,(구)합정동 주민센터,4,28,6160
SPB-15978,2019-11-06 8:45,103,망원역 2번출구 앞,14,2019-11-06 8:52,101,(구)합정동 주민센터,4,6,1110
